name,terminalname,lat,long
20th & Bell St,31000,38.8561,-77.0512
18th & Eads St.,31001,38.85725,-77.05332
20th & Crystal Dr,31002,38.8564,-77.0492
15th & Crystal Dr,31003,38.860244,-77.050276
18th & Hayes St,31004,38.8573,-77.0574
15th & Hayes St,31005,38.8604,-77.0603
S Joyce & Army Navy Dr,31006,38.8637,-77.0633
Crystal City Metro / 18th & Bell St,31007,38.8573,-77.0511
12th & Army Navy Dr,31008,38.8629,-77.0528
27th & Crystal Dr,31009,38.848441,-77.051516
S Glebe & Potomac Ave,31010,38.8426,-77.0502
23rd & Crystal Dr,31011,38.8533,-77.0498
26th & Crystal Dr,31012,38.8518,-77.0498
19th St & Pennsylvania Ave NW,31100,38.9003,-77.0429
14th & V St NW,31101,38.9176,-77.0321
11th & Kenyon St NW,31102,38.929464,-77.027822
16th & Harvard St NW,31103,38.926088,-77.036536
Adams Mill & Columbia Rd NW,31104,38.922925,-77.042581
14th & Harvard St NW,31105,38.9268,-77.0322
Calvert St & Woodley Pl NW,31106,38.9236,-77.0501
Lamont & Mt Pleasant NW,31107,38.9319,-77.0388
4th & M St SW,31108,38.8767,-77.0178
15th & P St NW,31201,38.90985,-77.034438
14th & R St NW,31202,38.912682,-77.031681
14th & Rhode Island Ave NW,31203,38.9086,-77.0323
20th & E St NW,31204,38.8963,-77.045
21st & I St NW,31205,38.9008,-77.047
Georgia & New Hampshire Ave NW,31400,38.936043,-77.024649
14th St & Spring Rd NW,31401,38.9375,-77.0328
John McCormack Dr & Michigan Ave NE,31502,38.9346,-76.9955
5th & K St NW,31600,38.90304,-77.019027
19th & East Capitol St SE,31601,38.8896,-76.9769
Park Rd & Holmead Pl NW,31602,38.9308,-77.0315
Good Hope & Naylor Rd SE,31700,38.8601,-76.9672
Connecticut Ave & Newark St NW / Cleveland Park,31305,38.934267,-77.057979
Randle Circle & Minnesota Ave SE,31702,38.878,-76.9607
Minnesota Ave Metro/DOES,31703,38.897063,-76.947446
Nannie Helen Burroughs & Minnesota Ave NE,31704,38.9016,-76.9422
Anacostia Metro,31801,38.8624,-76.9949
Good Hope Rd & MLK Ave SE,31802,38.867373,-76.988039
19th & E Street NW,31206,38.8952,-77.0436
4th St & Rhode Island Ave NE,31500,38.919488,-77.000624
10th & U St NW,31111,38.9172,-77.0259
Georgia Ave and Fairmont St NW,31207,38.9249,-77.0222
1st & N St  SE,31209,38.8743,-77.0057
20th St & Florida Ave NW,31110,38.9154,-77.0446
7th & T St NW,31109,38.9155,-77.0222
23rd & Eads St,31013,38.853613,-77.053535
M St & New Jersey Ave SE,31208,38.8763,-77.0037
Massachusetts Ave & Dupont Circle NW,31200,38.9101,-77.0444
1st & M St NE,31603,38.9057,-77.0056
21st & M St NW,31212,38.9054,-77.0471
17th & K St NW,31213,38.90276,-77.03863
4th St & Massachusetts Ave NW,31604,38.9003,-77.016
3rd & D St SE,31605,38.8851,-77.0023
Potomac & Pennsylvania Ave SE,31606,38.8803,-76.9862
14th & D St SE,31607,38.884,-76.9861
17th & Corcoran St NW,31214,38.9121,-77.0387
Van Ness Metro / UDC,31300,38.944551,-77.063896
Florida Ave & R St NW,31503,38.9126,-77.0135
8th & Eye St SE / Barracks Row,31608,38.8792,-76.9953
Ward Circle / American University,31301,38.938736,-77.087171
Idaho Ave & Newark St NW [on 2nd District patio],31302,38.934751,-77.074647
14th St Heights / 14th & Crittenden St NW,31402,38.947774,-77.032818
Anacostia Library,31804,38.865784,-76.9784
Pennsylvania & Minnesota Ave SE,31805,38.873057,-76.971015
Eastern Market / 7th & North Carolina Ave SE,31610,38.886952,-76.996806
McPherson Square / 14th & H St NW,31216,38.899641,-77.032005
Benning Branch Library,31705,38.894,-76.947974
USDA / 12th & Independence Ave SW,31217,38.887237,-77.028226
Georgetown Harbor / 30th St NW,31215,38.9022212,-77.059219
12th & Newton St NE,31501,38.933668,-76.991016
US Dept of State / Virginia Ave & 21st St NW,31220,38.894919,-77.046587
L'Enfant Plaza / 7th & C St SW,31218,38.886266,-77.022241
10th St & Constitution Ave NW,31219,38.893028,-77.026013
Kennedy Center,31211,38.895184,-77.054845
Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,38.884,-76.995397
18th & M St NW,31221,38.904742,-77.041606
Tenleytown / Wisconsin Ave & Albemarle St NW,31303,38.947607,-77.079382
13th & H St NE,31611,38.9003,-76.9882
5th & F St NW,31620,38.897222,-77.019347
New York Ave & 15th St NW,31222,38.8991,-77.0337
Convention Center / 7th & M St NW,31223,38.90572,-77.022264
Harvard St & Adams Mill Rd NW,31112,38.927872,-77.043358
19th & L St NW,31224,38.903407,-77.043648
C & O Canal & Wisconsin Ave NW,31225,38.90375,-77.06269
7th & Water St SW / SW Waterfront,31609,38.878925,-77.024016
D St & Maryland Ave NE,31612,38.894758,-76.997114
34th St & Wisconsin Ave NW,31226,38.916442,-77.0682
13th St & New York Ave NW,31227,38.900283,-77.029822
8th & H St NW,31228,38.8997,-77.023086
10th & Monroe St NE,31504,38.932514,-76.992889
Eckington Pl & Q St NE,31505,38.910972,-77.00495
6th & H St NE,31615,38.900384,-76.99831
3rd & H St NE,31616,38.90002,-77.002166
Bladensburg Rd & Benning Rd NE,31617,38.900413,-76.982872
4th & East Capitol St NE,31618,38.889955,-77.000349
Lincoln Park / 13th & East Capitol St NE ,31619,38.890461,-76.988355
Branch & Pennsylvania Ave SE,31701,38.8692,-76.9599
13th & D St NE,31622,38.894832,-76.987633
New Hampshire Ave & T St NW,31229,38.91554,-77.03818
Metro Center / 12th & G St NW,31230,38.898364,-77.027869
